Date (MM/DD/YYYY),Start,4/14/2021
Date (MM/DD/YYYY),End,4/22/2021
Date (MM/DD/YYYY),Day,"Available Times (24hr) (HH:MM - HH:MM, HH:MM - HH:MM, ...)"
4/14/2021,Wednesday,9:00 - 23:59
4/15/2021,Thursday,"9:30 - 11:00, 12:00 - 22:34"
4/16/2021,Friday,"0:00 - 2:00, 11:00 - 15:25, 17:32 - 20:00"
4/17/2021,Saturday,
4/18/2021,Sunday,"9:00 - 16:00, 17:00 - 23:30"
4/19/2021,Monday,1:00 - 4:00
4/20/2021,Tuesday,9:00 - 23:59
4/21/2021,Wednesday,"10:00 - 11:00, 20:00 - 23:45"
4/22/2021,Thursday,"9:30 - 11:00, 12:00 - 22:34"
